Iteration	Payoff	Chain	Status	Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
110	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
110	  -79279.666	6	1	    11259040	   176.29668	 0.008871235	
110	  -762899.09	7	2	    11922952	   147.67361	           0	
110	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
110	  -259724.54	9	2	    11204032	   163.62684	 0.016626667	
120	  -91451.576		2	   9660992.9	         200	        0.06	
120	  -127072.56	1	2	    15106070	   139.19479	 0.037468808	
120	  -185049.19	2	1	    14804991	   142.13174	  0.05983588	
120	  -473528.35	3	2	    12133436	   178.40911	        0.06	
120	  -161359.34	4	2	   8500371.7	         200	        0.06	
120	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
120	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
120	  -762899.09	7	2	    11922952	   147.67361	           0	
120	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
120	  -259724.54	9	2	    11204032	   163.62684	 0.016626667	
130	  -91451.576		2	   9660992.9	         200	        0.06	
130	  -127072.56	1	2	    15106070	   139.19479	 0.037468808	
130	  -185049.19	2	2	    14804991	   142.13174	  0.05983588	
130	  -473528.35	3	2	    12133436	   178.40911	        0.06	
130	  -161359.34	4	2	   8500371.7	         200	        0.06	
130	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
130	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
130	  -762899.09	7	2	    11922952	   147.67361	           0	
130	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
130	  -187611.65	9	1	   9665458.7	   180.17574	        0.06	
140	  -86847.555		1	   9660992.9	         200	 0.056077426	
140	  -122465.35	1	1	    15106070	   139.19479	 0.033796586	
140	  -185049.19	2	2	    14804991	   142.13174	  0.05983588	
140	  -317304.44	3	1	    15699687	   138.11683	 0.059059609	
140	  -161359.34	4	2	   8500371.7	         200	        0.06	
140	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
140	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
140	  -762899.09	7	2	    11922952	   147.67361	           0	
140	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
140	  -187611.65	9	2	   9665458.7	   180.17574	        0.06	
150	  -86847.555		2	   9660992.9	         200	 0.056077426	
150	  -122465.35	1	2	    15106070	   139.19479	 0.033796586	
150	  -185049.19	2	2	    14804991	   142.13174	  0.05983588	
150	  -131474.62	3	1	    14833353	   138.78586	           0	
150	  -80698.052	4	1	    12414490	   160.33044	        0.06	
150	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
150	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
150	  -322819.88	7	1	    15776440	   121.90316	  0.03220162	
150	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
150	  -187611.65	9	2	   9665458.7	   180.17574	        0.06	
160	  -60422.686		7	   9394162.8	         200	        0.06	
160	  -60422.686		1	   9394162.8	         200	        0.06	
160	  -88102.001	1	1	    13121002	   155.06685	  0.03677658	
160	  -185049.19	2	2	    14804991	   142.13174	  0.05983588	
160	  -131474.62	3	2	    14833353	   138.78586	           0	
160	  -80698.052	4	2	    12414490	   160.33044	        0.06	
160	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
160	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
160	  -322819.88	7	2	    15776440	   121.90316	  0.03220162	
160	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
160	  -187611.65	9	2	   9665458.7	   180.17574	        0.06	
170	  -60422.686		2	   9394162.8	         200	        0.06	
170	  -88102.001	1	2	    13121002	   155.06685	  0.03677658	
170	  -119188.75	2	1	    15092156	   137.30364	  0.05821733	
170	  -79555.259	3	1	    10237152	   190.04854	           0	
170	  -80698.052	4	2	    12414490	   160.33044	        0.06	
170	  -110846.68	5	2	    14622407	   142.42173	0.0043160878	
170	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
170	  -322819.88	7	2	    15776440	   121.90316	  0.03220162	
170	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
170	  -68445.362	9	1	    10645481	   181.51522	        0.06	
180	  -60422.686		2	   9394162.8	         200	        0.06	
180	  -88102.001	1	2	    13121002	   155.06685	  0.03677658	
180	  -108534.88	2	1	    13699424	   152.66962	           0	
180	  -79555.259	3	2	    10237152	   190.04854	           0	
180	  -80698.052	4	2	    12414490	   160.33044	        0.06	
180	  -78841.255	5	1	    10532703	   189.07354	           0	
180	  -79279.666	6	2	    11259040	   176.29668	 0.008871235	
180	  -122816.12	7	1	    12650635	   156.75569	0.0028580672	
180	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
180	  -68445.362	9	2	    10645481	   181.51522	        0.06	
190	  -60422.686		2	   9394162.8	         200	        0.06	
190	  -88102.001	1	2	    13121002	   155.06685	  0.03677658	
190	  -108534.88	2	2	    13699424	   152.66962	           0	
190	  -79555.259	3	2	    10237152	   190.04854	           0	
190	  -80698.052	4	2	    12414490	   160.33044	        0.06	
190	  -78841.255	5	2	    10532703	   189.07354	           0	
190	  -75220.413	6	1	   9911919.8	   185.52537	  0.05174666	
190	  -122816.12	7	2	    12650635	   156.75569	0.0028580672	
190	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
190	  -68445.362	9	2	    10645481	   181.51522	        0.06	
200	  -60422.686		2	   9394162.8	         200	        0.06	
200	  -88102.001	1	2	    13121002	   155.06685	  0.03677658	
200	  -108534.88	2	2	    13699424	   152.66962	           0	
200	  -79555.259	3	2	    10237152	   190.04854	           0	
200	  -80698.052	4	2	    12414490	   160.33044	        0.06	
200	  -78841.255	5	2	    10532703	   189.07354	           0	
200	  -75220.413	6	2	   9911919.8	   185.52537	  0.05174666	
200	  -122816.12	7	2	    12650635	   156.75569	0.0028580672	
200	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
200	   -68319.07	9	1	    10645481	   181.51522	 0.059778037	
210	  -60422.686		2	   9394162.8	         200	        0.06	
210	  -57481.681		7	   9824058.4	   189.26253	        0.06	
210	  -57481.681	1	1	   9824058.4	   189.26253	        0.06	
210	  -108534.88	2	2	    13699424	   152.66962	           0	
210	  -79555.259	3	2	    10237152	   190.04854	           0	
210	  -80698.052	4	2	    12414490	   160.33044	        0.06	
210	  -78841.255	5	2	    10532703	   189.07354	           0	
210	  -75220.413	6	2	   9911919.8	   185.52537	  0.05174666	
210	  -83074.371	7	1	   9638161.7	   191.19211	 0.035544023	
210	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
210	   -68319.07	9	2	    10645481	   181.51522	 0.059778037	
220	  -60422.686		2	   9394162.8	         200	        0.06	
220	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
220	  -108534.88	2	2	    13699424	   152.66962	           0	
220	  -79555.259	3	2	    10237152	   190.04854	           0	
220	  -80698.052	4	2	    12414490	   160.33044	        0.06	
220	  -60530.026	5	1	   9589318.5	   197.80858	  0.04082422	
220	  -66501.667	6	1	   9911919.8	   185.52537	        0.06	
220	  -83074.371	7	2	   9638161.7	   191.19211	 0.035544023	
220	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
220	   -68319.07	9	2	    10645481	   181.51522	 0.059778037	
230	  -60422.686		2	   9394162.8	         200	        0.06	
230	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
230	  -100385.94	2	1	    13772058	   142.41661	 0.041215552	
230	  -79555.259	3	2	    10237152	   190.04854	           0	
230	   -66461.25	4	1	     9070500	   198.72647	        0.06	
230	  -60530.026	5	2	   9589318.5	   197.80858	  0.04082422	
230	  -66501.667	6	2	   9911919.8	   185.52537	        0.06	
230	  -83074.371	7	2	   9638161.7	   191.19211	 0.035544023	
230	   -65438.09	8	2	   9146857.9	   199.79467	 0.047247652	
230	   -68319.07	9	2	    10645481	   181.51522	 0.059778037	
240	  -60422.686		2	   9394162.8	         200	        0.06	
240	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
240	  -100385.94	2	2	    13772058	   142.41661	 0.041215552	
240	  -79555.259	3	2	    10237152	   190.04854	           0	
240	   -66461.25	4	2	     9070500	   198.72647	        0.06	
240	  -60530.026	5	2	   9589318.5	   197.80858	  0.04082422	
240	  -66501.667	6	2	   9911919.8	   185.52537	        0.06	
240	  -74601.351	7	1	    11522080	   171.31147	 0.022697903	
240	  -60873.782	8	1	    10030309	   189.33948	        0.06	
240	   -68319.07	9	2	    10645481	   181.51522	 0.059778037	
250	  -60422.686		2	   9394162.8	         200	        0.06	
250	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
250	  -100385.94	2	2	    13772058	   142.41661	 0.041215552	
250	  -74469.003	3	1	    10544803	   184.14281	 0.014122908	
250	   -66461.25	4	2	     9070500	   198.72647	        0.06	
250	  -60530.026	5	2	   9589318.5	   197.80858	  0.04082422	
250	  -66501.667	6	2	   9911919.8	   185.52537	        0.06	
250	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
250	  -60873.782	8	2	    10030309	   189.33948	        0.06	
250	  -58301.249	9	1	    10371390	   181.51522	 0.059778037	
260	  -60422.686		2	   9394162.8	         200	        0.06	
260	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
260	  -100385.94	2	2	    13772058	   142.41661	 0.041215552	
260	  -74469.003	3	2	    10544803	   184.14281	 0.014122908	
260	   -66461.25	4	2	     9070500	   198.72647	        0.06	
260	  -60530.026	5	2	   9589318.5	   197.80858	  0.04082422	
260	  -66501.667	6	2	   9911919.8	   185.52537	        0.06	
260	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
260	  -60873.782	8	2	    10030309	   189.33948	        0.06	
260	  -58301.249	9	2	    10371390	   181.51522	 0.059778037	
270	  -60422.686		2	   9394162.8	         200	        0.06	
270	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
270	  -99146.144	2	1	    12943577	   159.53066	 0.015058612	
270	  -72099.928	3	1	    10174560	    189.7813	 0.013420127	
270	  -61233.758	4	1	   9888003.3	   188.31577	 0.052854509	
270	  -60530.026	5	2	   9589318.5	   197.80858	  0.04082422	
270	  -66501.667	6	2	   9911919.8	   185.52537	        0.06	
270	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
270	  -60873.782	8	2	    10030309	   189.33948	        0.06	
270	  -58301.249	9	2	    10371390	   181.51522	 0.059778037	
280	  -60422.686		2	   9394162.8	         200	        0.06	
280	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
280	  -99146.144	2	2	    12943577	   159.53066	 0.015058612	
280	  -72099.928	3	2	    10174560	    189.7813	 0.013420127	
280	  -61233.758	4	2	   9888003.3	   188.31577	 0.052854509	
280	  -57925.648	5	1	   9488477.1	    197.4914	        0.06	
280	  -66501.667	6	2	   9911919.8	   185.52537	        0.06	
280	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
280	  -60873.782	8	2	    10030309	   189.33948	        0.06	
280	  -58301.249	9	2	    10371390	   181.51522	 0.059778037	
290	  -60422.686		2	   9394162.8	         200	        0.06	
290	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
290	  -99146.144	2	2	    12943577	   159.53066	 0.015058612	
290	  -72099.928	3	2	    10174560	    189.7813	 0.013420127	
290	  -61233.758	4	2	   9888003.3	   188.31577	 0.052854509	
290	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
290	  -64075.329	6	1	    10620252	   181.14059	 0.038961531	
290	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
290	  -60873.782	8	2	    10030309	   189.33948	        0.06	
290	  -58301.249	9	2	    10371390	   181.51522	 0.059778037	
300	  -60422.686		2	   9394162.8	         200	        0.06	
300	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
300	  -99146.144	2	2	    12943577	   159.53066	 0.015058612	
300	  -72099.928	3	2	    10174560	    189.7813	 0.013420127	
300	  -61233.758	4	2	   9888003.3	   188.31577	 0.052854509	
300	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
300	  -63698.787	6	1	    10062660	   190.24642	  0.03227452	
300	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
300	  -56225.399		7	   9318895.1	   199.45427	  0.05539173	
300	  -56225.399	8	1	   9318895.1	   199.45427	  0.05539173	
300	  -58301.249	9	2	    10371390	   181.51522	 0.059778037	
310	  -60422.686		2	   9394162.8	         200	        0.06	
310	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
310	  -99146.144	2	2	    12943577	   159.53066	 0.015058612	
310	  -72099.928	3	2	    10174560	    189.7813	 0.013420127	
310	  -61233.758	4	2	   9888003.3	   188.31577	 0.052854509	
310	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
310	  -63698.787	6	2	    10062660	   190.24642	  0.03227452	
310	  -74601.351	7	2	    11522080	   171.31147	 0.022697903	
310	  -56225.399	8	2	   9318895.1	   199.45427	  0.05539173	
310	  -57611.329	9	1	    10262898	   183.80291	        0.06	
320	  -60422.686		2	   9394162.8	         200	        0.06	
320	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
320	  -99146.144	2	2	    12943577	   159.53066	 0.015058612	
320	  -67169.206	3	1	   9669547.8	         200	 0.018247803	
320	  -61233.758	4	2	   9888003.3	   188.31577	 0.052854509	
320	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
320	  -63698.787	6	2	    10062660	   190.24642	  0.03227452	
320	  -67175.383	7	1	    10876302	   179.36733	 0.036817579	
320	  -55788.087		7	   9305794.5	   198.12419	        0.06	
320	  -55788.087	8	1	   9305794.5	   198.12419	        0.06	
320	  -57611.329	9	2	    10262898	   183.80291	        0.06	
330	  -60422.686		2	   9394162.8	         200	        0.06	
330	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
330	  -81421.911	2	1	    12845289	   157.24485	 0.034365702	
330	  -67169.206	3	2	   9669547.8	         200	 0.018247803	
330	  -59843.762	4	1	     9545827	   192.50201	        0.06	
330	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
330	  -61789.134	6	1	   9530789.6	   199.47588	  0.03190956	
330	  -67175.383	7	2	    10876302	   179.36733	 0.036817579	
330	  -55788.087	8	2	   9305794.5	   198.12419	        0.06	
330	  -57611.329	9	2	    10262898	   183.80291	        0.06	
340	  -60422.686		2	   9394162.8	         200	        0.06	
340	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
340	  -81421.911	2	2	    12845289	   157.24485	 0.034365702	
340	  -67169.206	3	2	   9669547.8	         200	 0.018247803	
340	  -59843.762	4	2	     9545827	   192.50201	        0.06	
340	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
340	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
340	  -67175.383	7	2	    10876302	   179.36733	 0.036817579	
340	  -55331.714		7	   9243115.2	   199.77633	        0.06	
340	  -55331.714	8	1	   9243115.2	   199.77633	        0.06	
340	  -57611.329	9	2	    10262898	   183.80291	        0.06	
350	  -59024.593		1	   9881226.4	   191.18049	        0.06	
350	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
350	  -81421.911	2	2	    12845289	   157.24485	 0.034365702	
350	  -67169.206	3	2	   9669547.8	         200	 0.018247803	
350	  -59843.762	4	2	     9545827	   192.50201	        0.06	
350	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
350	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
350	  -67175.383	7	2	    10876302	   179.36733	 0.036817579	
350	  -55331.714	8	2	   9243115.2	   199.77633	        0.06	
350	  -57611.329	9	2	    10262898	   183.80291	        0.06	
360	  -59024.593		2	   9881226.4	   191.18049	        0.06	
360	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
360	  -67314.146	2	1	    12608759	   156.14639	 0.053616509	
360	  -67169.206	3	2	   9669547.8	         200	 0.018247803	
360	  -59843.762	4	2	     9545827	   192.50201	        0.06	
360	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
360	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
360	  -67175.383	7	2	    10876302	   179.36733	 0.036817579	
360	  -55331.714	8	2	   9243115.2	   199.77633	        0.06	
360	  -57611.329	9	2	    10262898	   183.80291	        0.06	
370	  -59024.593		2	   9881226.4	   191.18049	        0.06	
370	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
370	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
370	  -67169.206	3	2	   9669547.8	         200	 0.018247803	
370	  -59843.762	4	2	     9545827	   192.50201	        0.06	
370	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
370	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
370	  -67175.383	7	2	    10876302	   179.36733	 0.036817579	
370	  -55331.714	8	2	   9243115.2	   199.77633	        0.06	
370	  -57611.329	9	2	    10262898	   183.80291	        0.06	
380	  -57227.282		1	   9619816.8	   192.37377	        0.06	
380	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
380	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
380	   -62330.11	3	1	   9514548.5	   196.74987	 0.037350291	
380	  -59843.762	4	2	     9545827	   192.50201	        0.06	
380	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
380	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
380	  -67175.383	7	2	    10876302	   179.36733	 0.036817579	
380	  -55331.714	8	2	   9243115.2	   199.77633	        0.06	
380	  -57611.329	9	2	    10262898	   183.80291	        0.06	
390	  -57227.282		2	   9619816.8	   192.37377	        0.06	
390	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
390	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
390	   -62330.11	3	2	   9514548.5	   196.74987	 0.037350291	
390	  -59843.762	4	2	     9545827	   192.50201	        0.06	
390	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
390	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
390	  -64347.584	7	1	    10549736	   181.15648	 0.040258198	
390	  -55331.714	8	2	   9243115.2	   199.77633	        0.06	
390	  -57611.329	9	2	    10262898	   183.80291	        0.06	
400	  -57227.282		2	   9619816.8	   192.37377	        0.06	
400	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
400	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
400	   -62330.11	3	2	   9514548.5	   196.74987	 0.037350291	
400	  -59843.762	4	2	     9545827	   192.50201	        0.06	
400	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
400	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
400	  -61198.976	7	1	   9960602.6	   190.69356	 0.040254357	
400	  -55331.714	8	2	   9243115.2	   199.77633	        0.06	
400	  -57611.329	9	2	    10262898	   183.80291	        0.06	
410	  -57227.282		2	   9619816.8	   192.37377	        0.06	
410	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
410	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
410	   -62330.11	3	2	   9514548.5	   196.74987	 0.037350291	
410	  -59843.762	4	2	     9545827	   192.50201	        0.06	
410	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
410	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
410	  -61198.976	7	2	   9960602.6	   190.69356	 0.040254357	
410	  -55317.841		7	   9224799.7	         200	        0.06	
410	  -55317.841	8	1	   9224799.7	         200	        0.06	
410	  -57611.329	9	2	    10262898	   183.80291	        0.06	
420	  -57227.282		2	   9619816.8	   192.37377	        0.06	
420	  -57481.681	1	2	   9824058.4	   189.26253	        0.06	
420	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
420	   -62330.11	3	2	   9514548.5	   196.74987	 0.037350291	
420	  -59843.762	4	2	     9545827	   192.50201	        0.06	
420	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
420	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
420	  -61198.976	7	2	   9960602.6	   190.69356	 0.040254357	
420	  -55317.841	8	2	   9224799.7	         200	        0.06	
420	  -57611.329	9	2	    10262898	   183.80291	        0.06	
430	  -57227.282		2	   9619816.8	   192.37377	        0.06	
430	  -57166.917	1	1	   9806085.1	   189.71772	        0.06	
430	  -67314.146	2	2	    12608759	   156.14639	 0.053616509	
430	   -62330.11	3	2	   9514548.5	   196.74987	 0.037350291	
430	  -59843.762	4	2	     9545827	   192.50201	        0.06	
430	  -57925.648	5	2	   9488477.1	    197.4914	        0.06	
430	  -61789.134	6	2	   9530789.6	   199.47588	  0.03190956	
430	  -61198.976	7	2	   9960602.6	   190.69356	 0.040254357	
430	  -55317.841	8	2	   9224799.7	         200	        0.06	
430	  -57611.329	9	2	    10262898	   183.80291	        0.06	
440	  -57227.282		2	   9619816.8	   192.37377	        0.06	
440	  -57166.917	1	2	   9806085.1	   189.71772	        0.06	
