:COM The base payoff is     -13850.5
:SENSITIVITY = ALL_CONSTANTS = 10
Parameters are changed by +- 10%, if 0(<1e-5) by +- 0.1
 INIT Deep Ocean 2 Temperature=0                   	0                   	0                   
 INIT Deep Ocean 3 Temperature=0                   	0                   	0                   
 INIT Deep Ocean 4 Temperature=0                   	0                   	0                   
Initial Net Primary Production=8.51771e+10         	0                   	0                   
                       J to ZJ=1e+21               	0                   	0                   
                 KtN2O to tN2O=1000                	-80507              	-90809              
            Land Area Fraction=0.292               	0                   	0                   
                Land Thickness=8.4                 	0                   	0                   
                 Layer Depth 1=300                 	0                   	0                   
                 Layer Depth 2=300                 	0                   	0                   
                 Layer Depth 3=1300                	0                   	0                   
                 Layer Depth 4=1800                	0                   	0                   
            Mass Heat Capacity=4186                	0                   	0                   
             Mixed Layer Depth=100                 	0                   	0                   
                   Mixing Time=1                   	0                   	0                   
               Molar mass of C=12.01               	0                   	0                   
             Molar mass of CH4=16.04               	0                   	0                   
             Molar mass of N2O=44.013              	-1.06096e+06        	-702789             
                Mt CH4 to tCH4=1e+06               	0                   	0                   
         Natural CH4 Emissions=2.3e+08             	0                   	0                   
              Offset 700m Heat=-16                 	0                   	0                   
           Overlap Coefficient=0.00047             	0                   	0                   
              Overlap Exponent=0.75                	0                   	0                   
                           ppb=1e+09               	-850824             	-859828             
                    ppm to GtC=2.13                	0                   	0                   
 Preindustrial C in Atmosphere=5.9e+11             	0                   	0                   
Preindustrial Ocean C per meter=9e+09               	0                   	0                   
                  RCP Scenario=3                   	0                   	0                   
             Ref Buffer Factor=9.7                 	0                   	0                   
    Reference CO2 Removal Rate=3.7e+07             	0                   	0                   
                  sec per Year=3.1536e+07          	0                   	0                   
 Sensitivity of C flux to temp=0.003               	0                   	0                   
                  Ton to G CH4=1e+06               	0                   	0                   
                  Ton to g N2O=1e+06               	-850824             	-859828             
             TonCO2 to MTonCO2=1e-06               	0                   	0                   
Total moles of air in atmosphere=1.77e+20            	-1.06096e+06        	-702789             
Total Radiative Forcing AIM RCP60=0                   	0                   	0                   
Total Radiative Forcing IMAGE RCP26=0                   	0                   	0                   
Total Radiative Forcing MESSAGE RCP85=0                   	0                   	0                   
Total Radiative Forcing MiniCAM RCP45=0                   	0                   	0                   
               "unit W to J/s"=1                   	0                   	0                   
                  Watt per J s=1                   	0                   	0                   
